Date,Open,High,Low,Close,Volume
2020-01-02 09:30:00,280.521,281.1,280.438,281.055,447
2020-01-02 10:15:00,278.871,280.039,276.698,277.039,1248
2020-01-02 10:20:00,277.193,279.254,277.111,278.217,620
2020-01-02 10:25:00,277.143,277.182,277.061,277.137,294
2020-01-02 10:45:00,276.211,276.249,276.129,276.205,100
2020-01-02 10:50:00,275.946,275.984,275.864,275.94,200
2020-01-02 10:55:00,276.437,277.359,276.355,277.314,300
2020-01-02 11:00:00,277.124,277.162,277.042,277.118,100
2020-01-02 11:05:00,277.615,277.653,277.533,277.609,100
2020-01-02 11:15:00,277.86,277.899,277.778,277.854,100
2020-01-02 11:25:00,277.143,278.841,275.108,278.119,832
2020-01-02 11:30:00,277.045,277.084,274.912,275.91,1687
2020-01-02 11:35:00,274.993,275.974,274.912,275.93,514
2020-01-02 11:50:00,275.681,277.637,275.599,277.593,325
2020-01-02 12:00:00,275.769,276.096,275.648,276.052,412
2020-01-02 12:10:00,277.438,277.476,274.824,275.076,900
2020-01-02 12:15:00,274.198,274.344,273.97,274.3,501
2020-01-02 12:20:00,274.709,275.572,274.392,274.467,600
2020-01-02 12:25:00,274.395,274.433,274.313,274.389,201
2020-01-02 12:45:00,274.056,274.094,273.975,274.05,100
2020-01-02 13:00:00,274.571,274.609,272.179,272.253,782
2020-01-02 13:40:00,274.246,274.284,274.165,274.24,100
2020-01-02 13:45:00,273.737,273.775,273.42,273.495,200
2020-01-02 13:50:00,273.437,273.475,273.357,273.431,100
2020-01-02 14:00:00,273.825,273.873,273.744,273.829,200
2020-01-02 14:10:00,275.16,276.524,275.079,275.861,600
2020-01-02 14:35:00,276.515,276.553,276.433,276.509,100
2020-01-02 14:40:00,276.554,277.673,276.268,277.628,300
2020-01-02 14:45:00,276.908,276.946,275.55,275.626,408
2020-01-02 14:50:00,276.466,276.956,276.384,276.912,849
2020-01-02 15:05:00,277.173,277.211,277.091,277.167,100
2020-01-02 15:10:00,277.634,277.702,277.552,277.658,200
2020-01-02 15:15:00,277.919,277.957,277.837,277.913,100
2020-01-02 15:20:00,277.477,277.516,276.914,276.99,200
2020-01-02 15:30:00,276.869,276.951,276.103,276.907,325
2020-01-02 15:40:00,274.885,274.923,274.804,274.879,600
2020-01-02 15:45:00,275.092,276.711,275.01,276.666,300
2020-01-02 15:50:00,276.78,276.819,276.561,276.637,200
2020-01-02 15:55:00,276.643,277.162,276.561,276.774,1275
2020-01-02 16:00:00,277.242,277.28,277.16,277.236,3784
2020-01-03 09:30:00,274.66,274.698,273.636,273.711,885
2020-01-03 09:35:00,273.904,273.942,273.823,273.898,100
2020-01-03 09:45:00,275.834,275.872,274.629,274.704,300
2020-01-03 09:50:00,275.929,277.565,274.421,275.272,699
2020-01-03 09:55:00,276.152,276.19,274.559,275.027,702
2020-01-03 10:00:00,275.033,275.081,273.626,273.701,600
2020-01-03 10:05:00,275.308,275.346,275.226,275.302,200
2020-01-03 10:10:00,277.134,277.172,274.971,275.046,400
2020-01-03 10:15:00,275.072,275.64,274.991,275.596,500
2020-01-03 10:20:00,275.583,275.621,274.873,274.948,500
2020-01-03 10:25:00,275.239,275.316,275.099,275.272,800
2020-01-03 10:30:00,276.005,276.76,275.913,276.715,300
2020-01-03 10:35:00,276.996,277.869,276.914,277.825,500
2020-01-03 10:40:00,279.551,279.59,279.406,279.483,274
2020-01-03 10:55:00,277.448,277.486,277.16,277.236,535
2020-01-03 11:05:00,278.684,278.722,278.601,278.678,100
2020-01-03 11:30:00,278.636,278.674,278.553,278.63,100
2020-01-03 11:40:00,279.117,279.754,279.034,279.709,200
2020-01-03 11:45:00,279.665,279.704,279.583,279.659,200
2020-01-03 11:55:00,280.236,280.314,280.153,280.269,200
2020-01-03 12:00:00,279.559,280.005,279.476,279.621,338
2020-01-03 12:10:00,279.912,279.951,279.829,279.906,100
2020-01-03 12:15:00,279.608,279.646,279.525,279.601,100
2020-01-03 12:25:00,280.246,280.52,279.407,279.484,500
2020-01-03 13:00:00,280.776,280.815,280.673,280.75,456
2020-01-03 13:15:00,280.599,280.638,280.516,280.593,200
2020-01-03 13:20:00,281.021,281.306,280.938,281.261,300
2020-01-03 13:30:00,282.108,282.147,282.025,282.102,100
2020-01-03 13:35:00,280.678,280.717,280.516,280.593,200
2020-01-03 13:45:00,281.424,281.463,281.203,281.28,500
2020-01-03 14:05:00,279.647,279.686,279.564,279.641,100
2020-01-03 14:25:00,279.824,279.862,279.741,279.817,100
2020-01-03 14:30:00,280.108,281.009,279.996,280.073,300
2020-01-03 14:40:00,280.04,280.078,279.319,279.739,900
2020-01-03 14:55:00,280.599,280.638,280.516,280.593,100
2020-01-03 15:10:00,280.049,281.473,279.967,281.427,400
2020-01-03 15:35:00,280.153,280.191,280.07,280.146,100
2020-01-03 15:40:00,280.422,280.501,280.34,280.456,200
2020-01-03 15:50:00,280.943,280.982,280.86,280.937,100
2020-01-03 15:55:00,280.589,280.766,279.917,280.721,800
2020-01-03 16:00:00,280.54,280.579,280.457,280.534,7267
2020-01-06 09:30:00,278.862,278.9,277.769,277.845,495
2020-01-06 09:35:00,276.491,280.11,276.409,280.065,300
2020-01-06 10:20:00,278.38,278.419,278.298,278.374,100
2020-01-06 10:25:00,276.599,276.637,276.428,276.504,300
2020-01-06 10:30:00,278.783,278.822,278.701,278.777,100
2020-01-06 10:40:00,276.986,277.025,276.904,276.98,100
2020-01-06 10:45:00,277.065,278.321,276.983,277.923,300
2020-01-06 10:50:00,277.929,281.306,277.847,278.61,500
2020-01-06 10:55:00,279.5,279.538,279.319,279.395,512
2020-01-06 11:25:00,279.401,279.956,279.319,279.911,200
2020-01-06 11:40:00,279.5,279.538,279.098,279.174,200
2020-01-06 12:50:00,279.333,280.314,279.029,280.269,1800
2020-01-06 13:05:00,278.518,279.047,278.436,278.939,600
2020-01-06 13:10:00,280.187,280.226,279.23,279.788,892
2020-01-06 13:15:00,279.5,279.538,279.417,279.494,400
2020-01-06 13:20:00,279.647,280.019,278.534,279.975,500
2020-01-06 13:25:00,280.089,280.127,279.515,279.592,700
2020-01-06 13:30:00,278.42,279.146,278.239,279.101,600
2020-01-06 13:35:00,279.794,279.833,279.515,279.592,1260
2020-01-06 13:45:00,279.352,279.538,278.828,279.494,400
2020-01-06 15:10:00,279.637,279.676,279.554,279.631,100
2020-01-06 15:20:00,278.636,278.674,278.485,278.561,200
2020-01-06 15:25:00,278.587,278.625,278.504,278.581,100
2020-01-06 15:40:00,276.869,277.049,276.787,277.005,400
2020-01-06 15:45:00,277.104,277.143,277.022,277.098,100
2020-01-06 15:50:00,277.35,277.388,277.268,277.344,100
2020-01-06 15:55:00,276.854,277.555,276.522,276.863,1400
2020-01-06 16:00:00,276.859,276.897,276.777,276.853,4151
2020-01-07 09:30:00,276.181,276.22,276.1,276.175,321
2020-01-07 09:35:00,277.399,277.437,277.317,277.393,100
2020-01-07 09:55:00,275.425,275.464,274.804,274.879,650
2020-01-07 10:10:00,273.299,273.337,273.218,273.293,173
2020-01-07 10:20:00,272.304,272.341,272.223,272.298,100
2020-01-07 10:40:00,273.295,273.333,273.214,273.289,200
2020-01-07 10:45:00,274.164,274.202,274.083,274.158,100
2020-01-07 10:50:00,272.922,272.96,272.841,272.916,100
2020-01-07 11:00:00,272.775,272.862,272.694,272.818,500
2020-01-07 11:05:00,271.93,273.421,271.85,273.377,800
2020-01-07 11:10:00,274.885,274.923,273.253,273.505,1100
2020-01-07 11:15:00,273.315,273.353,272.851,272.926,559
2020-01-07 11:20:00,273.53,273.568,273.449,273.524,100
2020-01-07 11:30:00,273.766,273.804,273.685,273.76,100
2020-01-07 11:50:00,273.815,274.001,272.89,272.965,300
2020-01-07 11:55:00,273.437,273.475,273.357,273.431,200
2020-01-07 12:15:00,274.022,274.059,273.941,274.016,100
2020-01-07 12:40:00,274.022,274.059,273.941,274.016,100
2020-01-07 12:45:00,273.668,274.04,273.332,273.407,300
2020-01-07 12:50:00,273.217,273.706,272.684,272.759,800
2020-01-07 12:55:00,271.842,273.441,271.762,273.333,700
2020-01-07 13:00:00,272.956,272.994,272.876,272.95,100
2020-01-07 13:05:00,273.251,273.775,273.17,273.731,200
2020-01-07 13:10:00,273.928,274.236,273.847,274.143,300
2020-01-07 13:15:00,273.413,274.433,273.332,273.407,625
2020-01-07 13:20:00,272.736,272.773,271.919,272.474,1006
2020-01-07 13:25:00,273.909,273.947,273.381,273.456,200
2020-01-07 13:30:00,273.914,273.951,272.409,272.484,1149
2020-01-07 13:35:00,272.52,273.51,272.439,272.916,500
2020-01-07 13:40:00,273.261,273.299,272.498,272.818,1310
2020-01-07 13:50:00,271.94,271.978,271.86,271.934,900
2020-01-07 13:55:00,271.449,271.487,271.369,271.443,164
2020-01-07 14:10:00,271.785,271.823,271.705,271.779,100
2020-01-07 14:20:00,270.866,270.904,270.786,270.86,200
2020-01-07 14:25:00,273.831,273.869,273.75,273.825,1000
2020-01-07 14:55:00,271.076,271.114,270.78,270.854,200
2020-01-07 15:00:00,271.135,272.101,270.923,271.267,600
2020-01-07 15:05:00,271.44,271.477,270.27,270.344,200
2020-01-07 15:10:00,271.438,271.475,271.357,271.432,1000
2020-01-07 15:15:00,271.685,272.449,271.605,272.406,300
2020-01-07 15:20:00,273.059,274.511,272.125,272.199,2100
2020-01-07 15:50:00,273.187,273.225,273.106,273.181,100
2020-01-07 15:55:00,274.041,274.452,273.96,274.408,300
2020-01-07 16:00:00,274.061,274.099,273.98,274.055,2453
2020-01-08 09:30:00,273.472,273.51,273.391,273.466,380
2020-01-08 10:20:00,272.922,272.96,270.638,271.885,400
2020-01-08 10:25:00,272.682,272.719,272.601,272.676,100
2020-01-08 10:50:00,274.827,274.865,273.936,274.011,200
2020-01-08 10:55:00,273.639,273.677,272.39,273.269,504
2020-01-08 11:05:00,273.609,274.02,273.087,273.976,405
2020-01-08 11:15:00,274.38,274.418,274.142,274.217,200
2020-01-08 11:20:00,274.218,274.256,274.137,274.212,100
2020-01-08 11:25:00,274.139,274.177,274.058,274.133,100
2020-01-08 11:30:00,274.139,274.638,274.058,274.594,200
2020-01-08 11:35:00,275.259,275.316,275.177,275.272,200
2020-01-08 12:10:00,273.963,274.001,273.882,273.957,500
2020-01-08 12:15:00,276.338,276.377,275.786,275.861,600
2020-01-08 12:25:00,275.504,275.542,275.422,275.498,100
2020-01-08 12:30:00,275.995,276.161,275.913,276.116,200
2020-01-08 12:55:00,276.132,276.593,275.462,276.529,500
2020-01-08 13:05:00,275.808,275.846,275.207,275.282,300
2020-01-08 13:25:00,274.247,274.285,274.166,274.241,100
2020-01-08 13:40:00,275.19,275.228,275.108,275.184,200
2020-01-08 14:05:00,274.719,274.757,274.637,274.713,100
2020-01-08 14:30:00,274.007,274.045,273.926,274.001,100
2020-01-08 14:35:00,274.55,274.588,274.468,274.544,100
2020-01-08 14:55:00,273.963,274.001,273.136,273.711,425
2020-01-08 15:00:00,273.752,273.789,273.671,273.746,100
2020-01-08 15:25:00,273.364,273.402,273.283,273.358,100
2020-01-08 15:35:00,272.716,272.754,272.586,272.671,735
2020-01-08 15:40:00,271.989,272.027,271.909,271.983,100
2020-01-08 15:45:00,272.107,272.407,272.027,272.363,200
2020-01-08 15:50:00,271.96,272.017,271.87,271.944,300
2020-01-08 15:55:00,272.107,272.145,271.86,271.934,235
2020-01-08 16:00:00,272.196,272.233,272.115,272.19,6015
2020-01-09 09:30:00,273.02,273.058,272.939,273.014,590
2020-01-09 09:55:00,276.466,276.504,275.521,275.596,210
2020-01-09 10:00:00,274.316,274.442,274.235,274.398,200
2020-01-09 10:05:00,276.132,276.17,276.051,276.126,100
2020-01-09 10:15:00,275.887,276.17,275.805,276.126,325
2020-01-09 10:20:00,275.455,275.493,275.373,275.449,400
2020-01-09 10:30:00,276.295,276.334,276.214,276.289,150
2020-01-09 10:35:00,276.162,276.2,276.08,276.156,210
2020-01-09 10:40:00,277.212,277.251,277.13,277.206,100
2020-01-09 10:50:00,276.672,276.711,273.882,273.957,900
2020-01-09 11:00:00,276.319,277.064,276.237,277.02,300
2020-01-09 11:05:00,276.378,276.416,276.129,276.205,600
2020-01-09 11:15:00,275.926,275.964,275.383,275.459,200
2020-01-09 11:30:00,275.524,275.562,275.167,275.243,200
2020-01-09 11:35:00,274.885,274.923,274.804,274.879,200
2020-01-09 11:40:00,273.413,274.467,273.332,274.423,287
2020-01-09 11:45:00,274.466,274.504,274.385,274.46,300
2020-01-09 11:50:00,275.283,275.321,275.202,275.277,100
2020-01-09 11:55:00,273.992,274.334,273.911,274.29,200
2020-01-09 12:00:00,273.727,273.765,273.646,273.721,100
2020-01-09 12:05:00,274.881,274.919,273.087,274.614,400
2020-01-09 12:10:00,274.743,274.781,274.662,274.737,100
2020-01-09 12:15:00,274.11,274.148,274.029,274.104,100
2020-01-09 12:25:00,274.321,274.359,274.24,274.315,100
2020-01-09 12:55:00,276.584,276.622,275.275,275.851,698
2020-01-09 13:00:00,275.985,277.192,274.637,274.713,300
2020-01-09 13:05:00,274.895,274.933,273.391,273.466,300
2020-01-09 13:10:00,274.493,275.218,274.412,275.174,400
2020-01-09 13:15:00,274.1,274.236,273.725,274.192,600
2020-01-09 13:20:00,273.609,275.807,273.528,275.763,500
2020-01-09 13:25:00,275.013,275.051,274.412,274.487,400
2020-01-09 13:30:00,274.542,274.825,273.725,273.8,981
2020-01-09 13:40:00,274.974,275.012,274.893,274.968,100
2020-01-09 14:10:00,274.12,274.158,274.039,274.114,100
2020-01-09 15:10:00,273.349,273.387,272.841,272.916,581
2020-01-09 15:15:00,272.313,272.351,271.722,271.817,600
2020-01-09 15:20:00,272.343,272.38,272.262,272.337,100
2020-01-09 15:25:00,275.033,275.071,274.951,275.027,220
2020-01-09 15:45:00,272.053,272.091,271.973,272.047,100
2020-01-09 15:50:00,270.959,271.251,270.878,271.169,510
2020-01-09 15:55:00,272.304,272.341,271.173,271.267,1459
2020-01-09 16:00:00,271.41,271.448,271.33,271.404,4186
2020-01-10 09:30:00,273.001,273.038,272.92,272.995,360
2020-01-10 10:10:00,271.98,272.017,271.899,271.974,180
2020-01-10 10:15:00,271.567,271.605,271.114,271.188,250
2020-01-10 10:20:00,271.449,271.487,271.016,271.294,300
2020-01-10 10:30:00,271.776,271.813,271.695,271.77,100
2020-01-10 10:40:00,272.235,272.272,270.839,270.913,301
2020-01-10 10:45:00,271.165,272.155,271.085,272.111,1200
2020-01-10 10:50:00,271.184,272.763,271.104,272.16,900
2020-01-10 10:55:00,271.744,272.135,270.996,271.07,800
2020-01-10 11:00:00,270.968,271.978,270.888,271.247,1100
2020-01-10 11:05:00,271.754,272.449,271.58,272.131,900
2020-01-10 11:10:00,272.038,272.076,271.958,272.032,696
2020-01-10 11:15:00,271.312,271.349,270.859,270.933,300
